"Object","Format Label","Course Format","Title","Course Abstract","Url"
"Resources","","","Lifelines Tool","","https://pa.train.org/gateway/document/6278/view/"
"Resources","","","Lifelines Toolkit","","https://pa.train.org/gateway/document/6282/view/"
"Resources","","","Liquid Fuels Assurance Planning  June 2018","","https://pa.train.org/gateway/document/6207/view/"
"Resources","","","Login Issues","","https://pa.train.org/gateway/document/5920/view/"
"Resources","","","Los Angeles County Department of Public Health's Health Hazard Assessment and Prioritization Tool","","https://pa.train.org/gateway/document/3037/view/"
"Resources","","","Manténgase Informado Sobre la Influenza H1N1","","https://pa.train.org/gateway/document/1857/view/"
"Resources","","","Mark Yourself Completed for a Course","","https://pa.train.org/gateway/document/5917/view/"
"Resources","","","Maryland Prepares (Android)","","https://pa.train.org/gateway/document/4418/view/"
"Resources","","","Maryland Prepares (iPhone)","","https://pa.train.org/gateway/document/4419/view/"
"Resources","","","Meeting Agenda October 24, 2012","","https://pa.train.org/gateway/document/3014/view/"
"Resources","","","Meeting Minutes (October 24, 2012)","","https://pa.train.org/gateway/document/3040/view/"
"Resources","","","Mensajes importantes sobre la influenza H1N1: Comunidad","","https://pa.train.org/gateway/document/1876/view/"
"Resources","","","Mensajes importantes sobre la influenza H1N1: Higiene","","https://pa.train.org/gateway/document/1877/view/"
"Resources","","","MN.TRAIN Background","","https://pa.train.org/gateway/document/5932/view/"
"Resources","","","MN.TRAIN Policies Fact Sheet","","https://pa.train.org/gateway/document/2076/view/"
"Resources","","","Montgomery County Excited Delirium CQI Form","","https://pa.train.org/gateway/document/5945/view/"
"Resources","","","Montgomery County I-gel O2 Pack Training","","https://pa.train.org/gateway/document/5940/view/"
"Resources","","","Montgomery County Ketamine Dosing Chart","","https://pa.train.org/gateway/document/5943/view/"
"Resources","","","Montgomery County Richmond Agitation Sedation Scale","","https://pa.train.org/gateway/document/5944/view/"
"Resources","","","MPH Programs List","","https://pa.train.org/gateway/document/4636/view/"
"Resources","","","MRC Competencies","","https://pa.train.org/gateway/document/1700/view/"
"Resources","","","National Strategy to Revitalize Environmental Public Health Services","","https://pa.train.org/gateway/document/1933/view/"
"Resources","","","National Weather Service Presentation June 2018","","https://pa.train.org/gateway/document/6206/view/"
"Resources","","","Navigational Blueprint Guidelines","","https://pa.train.org/gateway/document/4775/view/"
"Resources","","","Novel H1N1 Flu - Creating a Safe and Healthy Workplace","","https://pa.train.org/gateway/document/1887/view/"
"Resources","","","Novel H1N1 Flu Awareness: Community","","https://pa.train.org/gateway/document/1878/view/"
"Resources","","","nursingspectrum.com","","https://pa.train.org/gateway/document/102/view/"
"Resources","","","NY Gov. Cuomo December 3 News Conference - Pfizer COVID-19 Vaccine Packaging Information","","https://pa.train.org/gateway/document/6434/view/"
"Resources","","","OK State EBOLA TTX Exercise SWPERLC","","https://pa.train.org/gateway/document/5652/view/"
"Resources","","","Opt IN to Recieve TRAIN Emails","","https://pa.train.org/gateway/document/5926/view/"
"Resources","","","PA Opioid Summit 2019 - Bucks County Critical Partnerships to Impact the Opioid Crisis","","https://pa.train.org/gateway/document/6311/view/"
"Resources","","","PA Opioid Summit 2019 - Cumberland County Opioid Intervention Court","","https://pa.train.org/gateway/document/6312/view/"
"Resources","","","PA Opioid Summit 2019 - Eliminating the Gap Between Successful Warm Handoff and Long-term Recovery","","https://pa.train.org/gateway/document/6314/view/"
"Resources","","","PA Opioid Summit 2019 - Implementation of an MAT across the SUD System","","https://pa.train.org/gateway/document/6315/view/"
"Resources","","","PA Opioid Summit 2019 - Increasing Protective Factors for Students with Prenatal Drug Exposure","","https://pa.train.org/gateway/document/6316/view/"
"Resources","","","PA Opioid Summit 2019 - Increasing Treatment for Patients with OUD in the ED","","https://pa.train.org/gateway/document/6317/view/"
"Resources","","","PA Opioid Summit 2019 - Kutztown Strong-Community Coalition Action for Prevention of Youth Substance Abuse","","https://pa.train.org/gateway/document/6318/view/"
"Resources","","","PA Opioid Summit 2019 - Lancaster Joining Forces-Coordinating Efforts to Reduce Deaths from Opioids and Heroin","","https://pa.train.org/gateway/document/6319/view/"
"Resources","","","PA Opioid Summit 2019 - MAT in County Jails","","https://pa.train.org/gateway/document/6320/view/"
"Resources","","","PA Opioid Summit 2019 - MAT in Franklin County Jail","","https://pa.train.org/gateway/document/6321/view/"
"Resources","","","PA Opioid Summit 2019 - Mending Broken Systems - How to Lead Informed and Actionable Treatment Collaborations","","https://pa.train.org/gateway/document/6322/view/"
"Resources","","","PA Opioid Summit 2019 - Multidisciplinary Approach to Address the Opioid Crisis-Prespective from the Office of the Attorney General","","https://pa.train.org/gateway/document/6323/view/"
"Resources","","","PA Opioid Summit 2019 - Project ECHO-Telementoring for Treatment of OUD","","https://pa.train.org/gateway/document/6324/view/"
"Resources","","","PA Opioid Summit 2019 - Project Lazarus Lancaster County","","https://pa.train.org/gateway/document/6325/view/"
"Resources","","","PA Opioid Summit 2019 - Providing Evidence Based, Integrated Care Through Opioid Treatment Programs-Lessons Learned PA's COE's","","https://pa.train.org/gateway/document/6326/view/"
"Resources","","","PA Opioid Summit 2019 - Providing Low Threshold Treatment for OUD-Lessons Learned from the Streets- Bup Bus","","https://pa.train.org/gateway/document/6327/view/"
"Resources","","","PA Opioid Summit 2019 - Regulatory Response-It Takes a Village-PA Insurance Department","","https://pa.train.org/gateway/document/6328/view/"
"Resources","","","PA Opioid Summit 2019 - Science, Stigma and Solutions","","https://pa.train.org/gateway/document/6329/view/"
"Resources","","","PA Opioid Summit 2019 - Strategies to Coordinate Overdose Prevention Efforts-Expanding the Role of First Responders","","https://pa.train.org/gateway/document/6330/view/"
"Resources","","","PA Opioid Summit 2019 - Syringe Services Program","","https://pa.train.org/gateway/document/6331/view/"
"Resources","","","PA-PEMA: Emergency Alerting in Pennsylvania","","https://pa.train.org/gateway/document/5695/view/"
"Resources","","","Pandemic Influenza Tabletop Exercise Situation Manual (SITMAN)","","https://pa.train.org/gateway/document/5650/view/"
"Resources","","","PEMA Director Presentation June 2018","","https://pa.train.org/gateway/document/6205/view/"
"Resources","","","PERLC Supplement - Journal of Public Health Management and Practice - Promotional Pieces","","https://pa.train.org/gateway/document/4839/view/"
"Resources","","","PHEP 102 - Overview of the Capabilities-Based Approach Video","","https://pa.train.org/gateway/document/3630/view/"
"Resources","","","PHF & OPHPR Annual Preparedness Publication","","https://pa.train.org/gateway/document/4785/view/"
"Resources","","","PHPR Information Page","","https://pa.train.org/gateway/document/2965/view/"
"Resources","","","PHPR Information Page","","https://pa.train.org/gateway/document/2967/view/"
"Resources","","","Pictorial Keys to Arthropods, Reptiles, Birds, and Mammals of Public Health Significance","","https://pa.train.org/gateway/document/1948/view/"
"Resources","","","POD Orientation Slides","","https://pa.train.org/gateway/document/1021/view/"
"Resources","","","Preparedness Flyer","","https://pa.train.org/gateway/document/4591/view/"
"Resources","","","Preparedness Flyer","","https://pa.train.org/gateway/document/4592/view/"
"Resources","","","Presidential Policy Directive 41/National Cyber Incident Response Plan","","https://pa.train.org/gateway/document/5693/view/"
"Resources","","","Protection from H1N1 Flu (Swine Flu)","","https://pa.train.org/gateway/document/1848/view/"
"Resources","","","Protective Security Advisor Brief","","https://pa.train.org/gateway/document/6272/view/"
"Resources","","","Psychosocial Impacts of Disasters on Children (Online Course)","","https://pa.train.org/gateway/document/4439/view/"
"Resources","","","Public Health Emergency Response Guide For State, Local, and Tribal Public Health","","https://pa.train.org/gateway/document/1947/view/"
"Resources","","","Public Health Infrastructure Resource Center","","https://pa.train.org/gateway/document/1211/view/"
"Resources","","","Public Health Preparedness and Response Core Competencies - Flyer","","https://pa.train.org/gateway/document/4486/view/"
"Resources","","","Public Health Preparedness and Response Core Competencies Model Information","","https://pa.train.org/gateway/document/2966/view/"
"Resources","","","Public Health Preparedness and Response Core Competency Model","","https://pa.train.org/gateway/document/2969/view/"
"Resources","","","Public Health Preparedness Capabilities","","https://pa.train.org/gateway/document/2970/view/"
"Resources","","","Public Health Preparedness Capabilities - Flyer","","https://pa.train.org/gateway/document/4496/view/"
"Resources","","","Public Health Preparedness Capabilities Information","","https://pa.train.org/gateway/document/2968/view/"
"Resources","","","Put Your Hands Together","","https://pa.train.org/gateway/document/1837/view/"
"Resources","","","Quality Improvement Capacity Building in Public Health","","https://pa.train.org/gateway/document/2502/view/"
"Resources","","","Radiation Disaster Issues in Children: An Approach to the Patient (Online Course)","","https://pa.train.org/gateway/document/4440/view/"
"Resources","","","Routine Practices E-Learning Tool","","https://pa.train.org/gateway/document/4745/view/"
"Resources","","","Routine Practices E-Learning Tool","","https://pa.train.org/gateway/document/4746/view/"
"Resources","","","RTH Intro English Transcript","","https://pa.train.org/gateway/document/2493/view/"
"Resources","","","Rutgers 12 Week EPH Course","","https://pa.train.org/gateway/document/1758/view/"
"Resources","","","SCORM - Lectora Course Creation","","https://pa.train.org/gateway/document/1557/view/"
"Resources","","","SCORM Troubleshooting","","https://pa.train.org/gateway/document/5921/view/"
"Resources","","","Smartphone apps for disasters workshop","","https://pa.train.org/gateway/document/4067/view/"
"Resources","","","Stay Informed About Novel H1N1 Influenza","","https://pa.train.org/gateway/document/1858/view/"
"Resources","","","Swine Flu","","https://pa.train.org/gateway/document/1833/view/"
"Resources","","","Swine Flue Symptoms","","https://pa.train.org/gateway/document/1834/view/"
"Resources","","","Technology Planning Guide for Learning and Peformance Professionals","","https://pa.train.org/gateway/document/1721/view/"
"Resources","","","Ten Principles for Building Healthy Places","","https://pa.train.org/gateway/document/4687/view/"
"Resources","","","The Core Competencies for Public Health Professionals","","https://pa.train.org/gateway/document/5639/view/"
"Resources","","","The National Nurse Emergency Preparedness Initiative","","https://pa.train.org/gateway/document/1351/view/"
"Resources","","","The Story of Iktomi: Infection Prevention","","https://pa.train.org/gateway/document/5709/view/"
"Resources","","","Tools for Managing Volunteers During and After a Disaster","","https://pa.train.org/gateway/document/1676/view/"
"Resources","","","Tracking and Reunification of Children in Disasters: A Lesson and Reference for Health Professionals (Online Course)","","https://pa.train.org/gateway/document/4441/view/"
"Resources","","","TRAIN Brochure","","https://pa.train.org/gateway/document/2952/view/"
"Resources","","","TRAIN course check sheet","","https://pa.train.org/gateway/document/1239/view/"
"Resources","","","TRAIN Course ID Spreadsheet","","https://pa.train.org/gateway/document/6302/view/"
"Resources","","","TRAIN Data Dictionary","","https://pa.train.org/gateway/document/2463/view/"
"Resources","","","TRAIN Marketing Book","","https://pa.train.org/gateway/document/3010/view/"
"Resources","","","TRAIN PA Administrators Handbook","","https://pa.train.org/gateway/document/5886/view/"
"Resources","","","TRAIN Presentation (HOSA 2013 NLC)","","https://pa.train.org/gateway/document/4068/view/"
"Resources","","","TRAIN Quick Guide","","https://pa.train.org/gateway/document/2953/view/"
"Resources","","","TRAIN User Quick Guide - Spanish","","https://pa.train.org/gateway/document/2955/view/"
"Resources","","","TRAIN's New Platform: Review and Q/A Session","","https://pa.train.org/gateway/document/6175/view/"
"Resources","","","Training Package for Supervisors and Managers of Covid-19 Case Investigation and Contact Tracing Programs","","https://pa.train.org/gateway/document/6433/view/"
"Resources","","","University of Oklahoma Health Sciences Center Pandemic Influenza Tabletop Exercise SWPERLC","","https://pa.train.org/gateway/document/5655/view/"
"Resources","","","User FAQs","","https://pa.train.org/gateway/document/1244/view/"
"Resources","","","User Handbook","","https://pa.train.org/gateway/document/1169/view/"
"Resources","","","VHA TRAIN Data Sheet","","https://pa.train.org/gateway/document/6351/view/"
"Resources","","","VHA TRAIN MA Course Catalog","","https://pa.train.org/gateway/document/6310/view/"
"Resources","","","What is Public Health Flyer","","https://pa.train.org/gateway/document/1999/view/"
"Resources","","","What Is Public Health?","","https://pa.train.org/gateway/document/4054/view/"
"Resources","","","Workforce Connections - Open Source CMS/Development Tool","","https://pa.train.org/gateway/document/192/view/"
"Resources","","","Wyoming County Opiod Discussion","","https://pa.train.org/gateway/document/6210/view/"
"Resources","","","Wyoming County part 2","","https://pa.train.org/gateway/document/6211/view/"
